"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"2082 Säter","utländsk bakgrund","18-67","2014",534
"2082 Säter","utländsk bakgrund","18-67","2024",745
"2083 Hedemora","utländsk bakgrund","18-67","2014",1424
"2083 Hedemora","utländsk bakgrund","18-67","2024",1775
"2084 Avesta","utländsk bakgrund","18-67","2014",2360
"2084 Avesta","utländsk bakgrund","18-67","2024",3032
"2085 Ludvika","utländsk bakgrund","18-67","2014",2877
"2085 Ludvika","utländsk bakgrund","18-67","2024",4269
"2101 Ockelbo","utländsk bakgrund","18-67","2014",441
"2101 Ockelbo","utländsk bakgrund","18-67","2024",559
"2104 Hofors","utländsk bakgrund","18-67","2014",1000
"2104 Hofors","utländsk bakgrund","18-67","2024",1077
"2121 Ovanåker","utländsk bakgrund","18-67","2014",509
"2121 Ovanåker","utländsk bakgrund","18-67","2024",713
"2132 Nordanstig","utländsk bakgrund","18-67","2014",563
"2132 Nordanstig","utländsk bakgrund","18-67","2024",658
"2161 Ljusdal","utländsk bakgrund","18-67","2014",1298
"2161 Ljusdal","utländsk bakgrund","18-67","2024",1507
"2180 Gävle","utländsk bakgrund","18-67","2014",11653
"2180 Gävle","utländsk bakgrund","18-67","2024",16178
"2181 Sandviken","utländsk bakgrund","18-67","2014",4092
"2181 Sandviken","utländsk bakgrund","18-67","2024",5905
"2182 Söderhamn","utländsk bakgrund","18-67","2014",1917
"2182 Söderhamn","utländsk bakgrund","18-67","2024",2485
"2183 Bollnäs","utländsk bakgrund","18-67","2014",1937
"2183 Bollnäs","utländsk bakgrund","18-67","2024",2513
"2184 Hudiksvall","utländsk bakgrund","18-67","2014",2422
"2184 Hudiksvall","utländsk bakgrund","18-67","2024",3232
"2260 Ånge","utländsk bakgrund","18-67","2014",509
"2260 Ånge","utländsk bakgrund","18-67","2024",640
"2262 Timrå","utländsk bakgrund","18-67","2014",1308
"2262 Timrå","utländsk bakgrund","18-67","2024",1570
"2280 Härnösand","utländsk bakgrund","18-67","2014",2147
"2280 Härnösand","utländsk bakgrund","18-67","2024",2923
"2281 Sundsvall","utländsk bakgrund","18-67","2014",8314
"2281 Sundsvall","utländsk bakgrund","18-67","2024",10796
"2282 Kramfors","utländsk bakgrund","18-67","2014",1434
"2282 Kramfors","utländsk bakgrund","18-67","2024",1951
"2283 Sollefteå","utländsk bakgrund","18-67","2014",1518
"2283 Sollefteå","utländsk bakgrund","18-67","2024",1812
"2284 Örnsköldsvik","utländsk bakgrund","18-67","2014",3235
"2284 Örnsköldsvik","utländsk bakgrund","18-67","2024",4582
"2303 Ragunda","utländsk bakgrund","18-67","2014",371
"2303 Ragunda","utländsk bakgrund","18-67","2024",463
"2305 Bräcke","utländsk bakgrund","18-67","2014",511
"2305 Bräcke","utländsk bakgrund","18-67","2024",590
"2309 Krokom","utländsk bakgrund","18-67","2014",736
"2309 Krokom","utländsk bakgrund","18-67","2024",943
"2313 Strömsund","utländsk bakgrund","18-67","2014",868
"2313 Strömsund","utländsk bakgrund","18-67","2024",1006
"2321 Åre","utländsk bakgrund","18-67","2014",729
"2321 Åre","utländsk bakgrund","18-67","2024",1221
"2326 Berg","utländsk bakgrund","18-67","2014",359
"2326 Berg","utländsk bakgrund","18-67","2024",517
"2361 Härjedalen","utländsk bakgrund","18-67","2014",686
"2361 Härjedalen","utländsk bakgrund","18-67","2024",972
"2380 Östersund","utländsk bakgrund","18-67","2014",3796
"2380 Östersund","utländsk bakgrund","18-67","2024",6140
"2401 Nordmaling","utländsk bakgrund","18-67","2014",406
"2401 Nordmaling","utländsk bakgrund","18-67","2024",508
"2403 Bjurholm","utländsk bakgrund","18-67","2014",162
"2403 Bjurholm","utländsk bakgrund","18-67","2024",199
"2404 Vindeln","utländsk bakgrund","18-67","2014",313
"2404 Vindeln","utländsk bakgrund","18-67","2024",495
"2409 Robertsfors","utländsk bakgrund","18-67","2014",391
"2409 Robertsfors","utländsk bakgrund","18-67","2024",549
"2417 Norsjö","utländsk bakgrund","18-67","2014",260
"2417 Norsjö","utländsk bakgrund","18-67","2024",358
"2418 Malå","utländsk bakgrund","18-67","2014",160
"2418 Malå","utländsk bakgrund","18-67","2024",313
"2421 Storuman","utländsk bakgrund","18-67","2014",284
"2421 Storuman","utländsk bakgrund","18-67","2024",433
"2422 Sorsele","utländsk bakgrund","18-67","2014",202
"2422 Sorsele","utländsk bakgrund","18-67","2024",256
"2425 Dorotea","utländsk bakgrund","18-67","2014",162
"2425 Dorotea","utländsk bakgrund","18-67","2024",158
"2460 Vännäs","utländsk bakgrund","18-67","2014",406
"2460 Vännäs","utländsk bakgrund","18-67","2024",695
"2462 Vilhelmina","utländsk bakgrund","18-67","2014",375
"2462 Vilhelmina","utländsk bakgrund","18-67","2024",375
"2463 Åsele","utländsk bakgrund","18-67","2014",212
"2463 Åsele","utländsk bakgrund","18-67","2024",279
"2480 Umeå","utländsk bakgrund","18-67","2014",11668
"2480 Umeå","utländsk bakgrund","18-67","2024",17225
"2481 Lycksele","utländsk bakgrund","18-67","2014",820
"2481 Lycksele","utländsk bakgrund","18-67","2024",1183
"2482 Skellefteå","utländsk bakgrund","18-67","2014",4128
"2482 Skellefteå","utländsk bakgrund","18-67","2024",10232
"2505 Arvidsjaur","utländsk bakgrund","18-67","2014",368
"2505 Arvidsjaur","utländsk bakgrund","18-67","2024",515
"2506 Arjeplog","utländsk bakgrund","18-67","2014",232
"2506 Arjeplog","utländsk bakgrund","18-67","2024",242
"2510 Jokkmokk","utländsk bakgrund","18-67","2014",382
"2510 Jokkmokk","utländsk bakgrund","18-67","2024",480
"2513 Överkalix","utländsk bakgrund","18-67","2014",238
"2513 Överkalix","utländsk bakgrund","18-67","2024",402
"2514 Kalix","utländsk bakgrund","18-67","2014",1374
"2514 Kalix","utländsk bakgrund","18-67","2024",1465
"2518 Övertorneå","utländsk bakgrund","18-67","2014",892
"2518 Övertorneå","utländsk bakgrund","18-67","2024",669
"2521 Pajala","utländsk bakgrund","18-67","2014",563
"2521 Pajala","utländsk bakgrund","18-67","2024",606
"2523 Gällivare","utländsk bakgrund","18-67","2014",1122
"2523 Gällivare","utländsk bakgrund","18-67","2024",1701
"2560 Älvsbyn","utländsk bakgrund","18-67","2014",482
"2560 Älvsbyn","utländsk bakgrund","18-67","2024",709
"2580 Luleå","utländsk bakgrund","18-67","2014",6741
"2580 Luleå","utländsk bakgrund","18-67","2024",9386
"2581 Piteå","utländsk bakgrund","18-67","2014",1739
"2581 Piteå","utländsk bakgrund","18-67","2024",2669
"2582 Boden","utländsk bakgrund","18-67","2014",1993
"2582 Boden","utländsk bakgrund","18-67","2024",2822
"2583 Haparanda","utländsk bakgrund","18-67","2014",3368
"2583 Haparanda","utländsk bakgrund","18-67","2024",2621
"2584 Kiruna","utländsk bakgrund","18-67","2014",2004
"2584 Kiruna","utländsk bakgrund","18-67","2024",3030
