"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"0561 Åtvidaberg","svensk bakgrund","18-67","2024",5749
"0562 Finspång","svensk bakgrund","18-67","2014",10624
"0562 Finspång","svensk bakgrund","18-67","2024",9600
"0563 Valdemarsvik","svensk bakgrund","18-67","2014",4122
"0563 Valdemarsvik","svensk bakgrund","18-67","2024",3502
"0580 Linköping","svensk bakgrund","18-67","2014",79169
"0580 Linköping","svensk bakgrund","18-67","2024",79279
"0581 Norrköping","svensk bakgrund","18-67","2014",64871
"0581 Norrköping","svensk bakgrund","18-67","2024",60863
"0582 Söderköping","svensk bakgrund","18-67","2014",8010
"0582 Söderköping","svensk bakgrund","18-67","2024",7363
"0583 Motala","svensk bakgrund","18-67","2014",21958
"0583 Motala","svensk bakgrund","18-67","2024",19763
"0584 Vadstena","svensk bakgrund","18-67","2014",3862
"0584 Vadstena","svensk bakgrund","18-67","2024",3502
"0586 Mjölby","svensk bakgrund","18-67","2014",14493
"0586 Mjölby","svensk bakgrund","18-67","2024",13851
"0604 Aneby","svensk bakgrund","18-67","2014",3582
"0604 Aneby","svensk bakgrund","18-67","2024",3195
"0617 Gnosjö","svensk bakgrund","18-67","2014",4039
"0617 Gnosjö","svensk bakgrund","18-67","2024",3326
"0642 Mullsjö","svensk bakgrund","18-67","2014",3771
"0642 Mullsjö","svensk bakgrund","18-67","2024",3528
"0643 Habo","svensk bakgrund","18-67","2014",6029
"0643 Habo","svensk bakgrund","18-67","2024",6665
"0662 Gislaved","svensk bakgrund","18-67","2014",12909
"0662 Gislaved","svensk bakgrund","18-67","2024",10706
"0665 Vaggeryd","svensk bakgrund","18-67","2014",6411
"0665 Vaggeryd","svensk bakgrund","18-67","2024",6265
"0680 Jönköping","svensk bakgrund","18-67","2014",65208
"0680 Jönköping","svensk bakgrund","18-67","2024",63289
"0682 Nässjö","svensk bakgrund","18-67","2014",14787
"0682 Nässjö","svensk bakgrund","18-67","2024",13137
"0683 Värnamo","svensk bakgrund","18-67","2014",15343
"0683 Värnamo","svensk bakgrund","18-67","2024",13903
"0684 Sävsjö","svensk bakgrund","18-67","2014",5345
"0684 Sävsjö","svensk bakgrund","18-67","2024",4656
"0685 Vetlanda","svensk bakgrund","18-67","2014",13561
"0685 Vetlanda","svensk bakgrund","18-67","2024",11933
"0686 Eksjö","svensk bakgrund","18-67","2014",8800
"0686 Eksjö","svensk bakgrund","18-67","2024",7938
"0687 Tranås","svensk bakgrund","18-67","2014",9314
"0687 Tranås","svensk bakgrund","18-67","2024",8224
"0760 Uppvidinge","svensk bakgrund","18-67","2014",4323
"0760 Uppvidinge","svensk bakgrund","18-67","2024",3612
"0761 Lessebo","svensk bakgrund","18-67","2014",3700
"0761 Lessebo","svensk bakgrund","18-67","2024",3044
"0763 Tingsryd","svensk bakgrund","18-67","2014",6096
"0763 Tingsryd","svensk bakgrund","18-67","2024",5104
"0764 Alvesta","svensk bakgrund","18-67","2014",9145
"0764 Alvesta","svensk bakgrund","18-67","2024",7921
"0765 Älmhult","svensk bakgrund","18-67","2014",7603
"0765 Älmhult","svensk bakgrund","18-67","2024",6660
"0767 Markaryd","svensk bakgrund","18-67","2014",4367
"0767 Markaryd","svensk bakgrund","18-67","2024",3788
"0780 Växjö","svensk bakgrund","18-67","2014",42802
"0780 Växjö","svensk bakgrund","18-67","2024",42391
"0781 Ljungby","svensk bakgrund","18-67","2014",13468
"0781 Ljungby","svensk bakgrund","18-67","2024",11917
"0821 Högsby","svensk bakgrund","18-67","2014",2758
"0821 Högsby","svensk bakgrund","18-67","2024",1985
"0834 Torsås","svensk bakgrund","18-67","2014",3699
"0834 Torsås","svensk bakgrund","18-67","2024",3322
"0840 Mörbylånga","svensk bakgrund","18-67","2014",7957
"0840 Mörbylånga","svensk bakgrund","18-67","2024",7707
"0860 Hultsfred","svensk bakgrund","18-67","2014",6826
"0860 Hultsfred","svensk bakgrund","18-67","2024",5425
"0861 Mönsterås","svensk bakgrund","18-67","2014",6920
"0861 Mönsterås","svensk bakgrund","18-67","2024",6035
"0862 Emmaboda","svensk bakgrund","18-67","2014",4509
"0862 Emmaboda","svensk bakgrund","18-67","2024",3710
"0880 Kalmar","svensk bakgrund","18-67","2014",35554
"0880 Kalmar","svensk bakgrund","18-67","2024",34458
"0881 Nybro","svensk bakgrund","18-67","2014",9918
"0881 Nybro","svensk bakgrund","18-67","2024",8395
"0882 Oskarshamn","svensk bakgrund","18-67","2014",13590
"0882 Oskarshamn","svensk bakgrund","18-67","2024",12096
"0883 Västervik","svensk bakgrund","18-67","2014",19083
"0883 Västervik","svensk bakgrund","18-67","2024",16560
"0884 Vimmerby","svensk bakgrund","18-67","2014",8274
"0884 Vimmerby","svensk bakgrund","18-67","2024",7207
"0885 Borgholm","svensk bakgrund","18-67","2014",5553
"0885 Borgholm","svensk bakgrund","18-67","2024",4694
"0980 Gotland","svensk bakgrund","18-67","2014",33183
"0980 Gotland","svensk bakgrund","18-67","2024",30897
