" "," "," ","2008Q3","2009Q3","2010Q3","2011Q3","2012Q3","2013Q3","2014Q3","2015Q3","2016Q3","2017Q3","2018Q3","2019Q3","2020Q3","2021Q3","2022Q3","2023Q3","2024Q3","2025Q3"
"Total"
" ","Age, total"
" "," ","Assens",42249,42149,41812,41604,41402,41146,41076,41207,41413,41406,41474,41120,40903,40838,40980,40805,40577,40488
" "," ","Faaborg-Midtfyn",52101,52083,51971,51694,51562,51279,51096,51179,51329,51436,51698,51746,51571,51787,52101,52239,52282,52299
" "," ","Kerteminde",23668,23794,23750,23767,23788,23677,23797,23860,23834,23795,23854,23863,23824,23914,24051,23949,23955,24184
" "," ","Langeland",13658,13557,13475,13208,13005,12803,12654,12576,12592,12577,12609,12547,12395,12373,12421,12358,12147,11946
" "," ","Middelfart",37412,37680,37650,37678,37704,37645,37874,37981,38041,38123,38363,38862,38998,39433,39938,40136,40351,40410
" "," ","Nordfyns",29642,29712,29526,29502,29264,29106,29053,29268,29374,29607,29624,29764,29631,29594,29915,29696,29592,29218
" "," ","Nyborg",31665,31753,31602,31534,31394,31293,31396,31733,32036,32068,32032,31974,31933,32017,32228,32291,32214,32306
" "," ","Odense",186886,187884,189058,190103,191692,193641,195908,197466,199235,200703,202663,204120,204718,204795,206785,207688,209690,211314
" "," ","Svendborg",59154,59103,58925,58714,58485,58094,57978,58086,58393,58627,58707,58513,58261,58909,59563,59688,59835,59971
" "," ","�r�",6688,6665,6670,6626,6607,6460,6322,6264,6231,6169,6110,6033,5987,6016,6084,6002,5919,5825
" "," ","Billund",26267,26306,26226,26271,26353,26403,26399,26363,26562,26520,26618,26699,26560,26576,26961,27097,27179,27249
" "," ","Esbjerg",114398,114806,115129,115184,115105,115041,115272,115558,115987,115932,116061,115675,115650,115529,115917,115746,115268,114923
" "," ","Fan�",3233,3241,3245,3231,3245,3249,3256,3293,3337,3370,3414,3475,3486,3451,3438,3404,3327,3296
" "," ","Fredericia",49507,49841,50091,50193,50293,50358,50390,50585,50844,51023,51460,51417,51386,51521,51964,52433,52475,52855
" "," ","Haderslev",56447,56424,56312,56116,56290,56042,55971,55999,56082,56009,55927,55829,55518,55403,55565,55522,55353,55210
" "," ","Kolding",88107,88761,89076,89273,89404,89624,90279,90940,91745,92399,92647,93073,92995,93061,94315,94702,95249,96005
" "," ","S�nderborg",76919,76647,76377,76298,76055,75653,75221,74878,74804,74785,74773,74353,74083,73717,74190,74272,74017,73951
" "," ","T�nder",40383,40012,39695,39430,39038,38572,38206,38037,37981,37887,37702,37573,37174,37021,37053,36767,36536,36203
" "," ","Varde",50367,50470,50510,50423,50187,50099,50110,50309,50449,50462,50214,50237,49886,49746,50007,50006,49701,49563
" "," ","Vejen",42604,42759,42849,42801,42812,42704,42748,42789,42945,42875,42901,42776,42805,42788,42857,42895,42885,42796
" "," ","Vejle",105481,106281,106867,107618,108471,109362,110057,111138,112494,113720,114464,115316,116468,118028,120361,121559,122022,122750
